bucket,idx,text,true_label,true_label_name,model_pred,model_pred_name,model_proba_pos,model_confidence,llm_label,llm_label_name,llm_confidence,llm_rationale,llm_backend,llm_model,llm_error,agree_with_model,agree_with_truth,suspected_label_error
all_wrong,40,"The Fall of Reach: This book is very good. The story line is fantastic and I cannot put it down. There is one problem, however. This book was very poorly proofread if proofread at all. There are many grammatical mistakes and other errors that middle school students could eliminate if they had read their work. Nonetheless, I highly recommend The Fall of reach and the rest of the series as long as you are able to overlook certain imperfections.",0,好评(0),1,差评(1),0.9811166524887085,0.9811166524887085,0,好评(0),1.0,VADER: 整体正向评分占优,stub,vader-heuristic,,False,True,False
all_wrong,47,"Cool puzzle, not highest quality pieces: We are really enjoying this puzzle, and learning a lot. The information written on the oceans makes the puzzle more interesting and manageable.The pieces are necessarily very small to match the size of the countries. The bigger problem is that they curl up just a bit, so the pieces don't lie flat as you make the puzzle. This is frustrating, and you don't get that satisfying feeling as you put a piece in, as you have to press it down a few times and it still doesn't quite flatten down. I'm trying covering the finished puzzle with heavy books, but I suspect it's just a problem of cheap glue.Still, I give it four stars since a good world puzzle is very hard to find, and the content is good.",0,好评(0),1,差评(1),0.8861014246940613,0.8861014246940613,0,好评(0),0.7532,VADER: 整体正向评分占优,stub,vader-heuristic,,False,True,False
all_wrong,53,"typos galore!: I do not intend to review content here. This new edition is so full of typographical errors that sometimes the reader will have to intuit what the author really wrote. It is clear that the proofreaders of this edition were not actually reading; they were simply following the little red lines under the ""misspelled"" words. This has resulted in some truly bizarre apparent statements by the author, unreproducible here due to copyright laws. Disclaimer-- I have not purchased this book, merely checked it out of the library.",0,好评(0),1,差评(1),0.9919576048851013,0.9919576048851013,0,好评(0),0.7714,VADER: 整体正向评分占优,stub,vader-heuristic,,False,True,False
all_wrong,87,"Doing the Evolution: In some respects, I think Yield is a better album, but Binaural still suffices for greatness. Binuaral contains three songs that are not Pearl Jam caliber, though they sound to be at first--God's Dice, Sleight of Hand, and Long Road 2, Parting Ways. Thriteen songs in the album, minus 3, equal 10, all of which are songs that could be played over and over again--some may argue for God's Dice--and I'm not say that it is bad either. The strength of the album is its quirkiness, and the band being able to compose songs that have natural sound to them. I think that's been key to their success. Key words that loom in Binaural are quirkiness,as in Rival and Soon Forget, supressed rage, as heard in Greivance, and mind-playing guitars that seem to want to spin into something off of Vs. but instead retain driving composure as in Of the Girl, Insignificance. What can you say? Vedder and the boys just keeping doing it . . .",0,好评(0),1,差评(1),0.857234001159668,0.857234001159668,0,好评(0),1.0,VADER: 整体正向评分占优,stub,vader-heuristic,,False,True,False
all_wrong,94,"Old School Action Movie: I agree with the other reviewers that this is an entertaining action movie as long as your suspend MOST of your belief in reality. I do what to point out that the machine gun he shoots is a Browning .30 caliber NOT a .50 caliber. The gun was meant to shot from a tripod, but it COULD be shot from the hip. He DOES run out of bullets for it and his handguns. As for the rocket launcher part...I'm sorry, the explosion/back blast would have killed all three of them in the room when it went off!",0,好评(0),1,差评(1),0.9678894281387329,0.9678894281387329,1,差评(1),1.0,VADER: 整体负向评分占优,stub,vader-heuristic,,True,False,True
all_wrong,128,"That's The Way It Is: RCA/BMG, Warner and anyone that sells Elvis products, know that the ""hardcore"" fans will buy just about anything related to Elvis. As to this DVD set, could it have been better? Yes. But I don't really have any big problem with it.",0,好评(0),1,差评(1),0.952791154384613,0.952791154384613,1,差评(1),0.6900999999999999,VADER: 整体负向评分占优,stub,vader-heuristic,,True,False,True
all_wrong,156,"A history of a major Wall Street bank and more.: When in 1976 Jerome Kohlberg, Henry Kravis, and George Roberts left Bear Stears to form KKR, Wall Street realized these three dealermakers might become a major force in the restructuring of American big business then beginning. What could not be predicted was the heights KKR would achieve. It has risen from the ranks of upstarts to become a major player in ""The New Establishment."" While KKR has been the subject of other books and articles, none could be considered ""definitive,"" as is ""The New Financial Capitalists."" It is more than a history of a bank, however. Baker and Smith have addressed the problem posed by the separation of ownership and management delineated in 1934 by Adolph Berle and Gardner Means in ""The Modern Corporation and Private Property,"" indicating how the leveraged buyout programs of the 1980s helped resolve it.",0,好评(0),1,差评(1),0.8485706448554993,0.8485706448554993,1,差评(1),0.5258,VADER: 中性，按符号兜底,stub,vader-heuristic,,True,False,True
all_wrong,161,"Good but Not Really Funny: With everyone else raving about how funny this book was I bought it. I was not disappointed with the story, but it really wasn't all that humorous. Dave Barry has a much better feel for humor, especially in Florida. Still, I will read other Hiassen books. I will simply change my expectations to drama rather than humor. That's why I gave it a 4 instead of a 5; false advertising.",0,好评(0),1,差评(1),0.9791034460067749,0.9791034460067749,0,好评(0),1.0,VADER: 整体正向评分占优,stub,vader-heuristic,,False,True,False
all_wrong,176,"I like it: I just bought this a few days ago. Everything is fine, but the battery seems so short. I charged it with an AC adapter from gomadic and I definitely don't get 15 hours! I goes past the half way mark in about 3 hours and that is lame, but I do play around with it a lot. I also don't like the volume control. It's really hard to press and it should've just been part of the joystick.",0,好评(0),1,差评(1),0.9856784343719482,0.9856784343719482,0,好评(0),1.0,VADER: 整体正向评分占优,stub,vader-heuristic,,False,True,False
all_wrong,182,"6 months - so far: Flawless: I've been into sampling wine now for about 6 months. I read the reviews, looked at the prices, and decided to start with this device as a ""de-corker.""Well, by now I've decided that if I've got more money I want to spend, it's for wine not for a different corkscrew since this one has opened many bottles with zero failures.You line up the opener, turn the screw, watch the wings unfold, turn down the wings and the cork comes out with no problems. It has not yet failed to remove all of the cork, whole, with no fragments. It's fast, clean, relatively effortless, and cheap.I'm an obvious ""newbie"" to wine, but seriously - this thing is really underpriced. I'm ordering another for a backup.",0,好评(0),1,差评(1),0.9812989830970764,0.9812989830970764,1,差评(1),0.5053,VADER: 中性，按符号兜底,stub,vader-heuristic,,True,False,True
